,img_no,site_url,page_url,src,alt,model_alts,approved_alt
1700,2878,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/wib-heroarrowpointboy-composite-sharp.jpg.webp?itok=BGJD5BC2,Skeleton with arrow point in leg,['a skeleton is sitting in a hole in the ground'],
1701,2880,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/webcomic-secret-cellar,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/webcomiccover.jpg.webp?itok=0_bs-arS,Foreground includes headshots of characters in the comic. Title (The Secret in the Cellar) and background info are included.  A text version of the Comic is available.,['the secret in the callaar'],
1702,2882,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi93-03a07.jpg.webp?itok=Ibz5WwU5,Pelvis from skeleton with surface damage,"[""a fossilized animal's pelvis is shown on a blue background""]",
1703,2883,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi-93-03a15.jpg.webp?itok=30qL0gl1,Skull with damaged surfaces,['a human skull with a piece of paper stuck to it'],
1704,2884,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi-93-03a19r2.jpg.webp?itok=nPU0qiVo,Drawing of skeleton,['a drawing of a human skeleton with the ribs showing'],
1705,2885,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi-93-03a01.jpg.webp?itok=a8ZoHvFa,Frontal view of skull with teeth missintg,['a close up of a human skull with teeth missing'],
1706,2886,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi-93-03a17.jpg.webp?itok=0daTdPU_,Broken and Charred bones,['the bones of a human skeleton are shown in this photo'],
1707,2887,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/modern-forensic-case-file,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibsi93-03a18.jpg.webp?itok=qEjcEH72,Anterior view of pelvis with eroded bone,['a close up of an animal skull on a blue background'],
1708,2889,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/highly-unusual-case,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibjamesfort-apv-1046b10800.jpg.webp?itok=sXifjKNS,Archaeologist uncovering bones and sword still in the ground.,['a man is working on a skeleton in the ground'],
1709,2890,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/highly-unusual-case,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibg0071.jpg.webp?itok=kavu5zzz,3D Reconstruction of  Gosnold's burial site.,['an illustration of a skeleton in a coffin'],
1710,2891,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/highly-unusual-case,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wib2009-891-gosnoldfinal800.jpg.webp?itok=LmKechAi,Head and shoulders of a  colonial man in elegant clothes.,['a statue of a man wearing a hat'],
1711,2893,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/was-baby-swaddled-death,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibswaddledbones.jpg.webp?itok=DzO1ypvR,"Skull with holes, riddled jaw and rough ribs",['four different images of a bone with holes in it'],
1712,2894,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/was-baby-swaddled-death,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibg0039.jpg.webp?itok=aOciuc-C,Two adult and one infant coffin in grave,['two large stone coffins sitting on the ground next to each other'],
1713,2896,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/first-fatality,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibg0063.jpg.webp?itok=kGlVI93-,Skeleton in grave; arrowhead in his leg.,['an ancient skeleton laying in a hole in the ground'],
1714,2897,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/first-fatality,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wib18arrowpointboyteeth.jpg.webp?itok=icn8U-Rr,Magnified view of front teeth 2 are chipped showing exposed pulp and 2 are cracked..,['a close up of four teeth that have been broken'],
1715,2899,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/mystery-woman-found-lead-coffin,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibst-marys-city-312.jpg.webp?itok=LDNYeLmE,Douglas Owsley & Kari Bruwelheide look at recovered skeleton,['a man and woman looking at an old wooden coffin'],
1716,2900,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/mystery-woman-found-lead-coffin,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibg0500large.jpg.webp?itok=bzG7JrXU,Right and left femur of the skeleton.  The right femur is misaligned and shorter.,['a pair of ancient human bones on a black background'],
1717,2902,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/body-basement,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/18an828-leavy-neck-1-skeleton-wtih-artifact-72dpi.jpg.webp?itok=ibYPmhgI,Looking down at a beige skeleton of a boy that is partially excavated in a pit in the ground.,['an image of a skeleton lying on the ground'],
1718,2903,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/body-basement,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibg0002.jpg.webp?itok=aDDCOdsr, Scientist measuring skeleton in the grave and taking notes,['a woman is working on a skeleton in the ground'],
1719,2904,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/body-basement,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wiba0104.jpg.webp?itok=VsLPb1z1,One large and several smaller fragments from a ceramic milk pan,['a pottery bowl with broken pieces sitting on top of a table'],
1720,2905,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/body-basement,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibdsc1025.jpg.webp?itok=myqpuzpM,Sculptor's reconstruction of boy carrying heavy load in colonial dress,['a statue of a boy carrying a bag on his back'],
1721,2908,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/young-woman-harleigh-knoll,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibharknolgprdemodragsensorsled.jpg.webp?itok=TfQG0XDp,Two scientist with GPR instrument in the woods,['a group of people working on a trail in the woods'],
1722,2909,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/young-woman-harleigh-knoll,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/harknol-burialmerged1600.jpg.webp?itok=17U65Q5x,Skeleton in situ and reconstructed head,"[""an image of a woman's head with a skull on it next to an image of a woman's head with a turban on it""]",
1723,2911,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/discovering-jane,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibjane840.jpg.webp?itok=WLhrO4ke,Sculpted head of Jane from reconstruction details,['a bust of a woman wearing a headband'],
1724,2912,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/discovering-jane,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibskull3dburialsitebsm.jpg.webp?itok=8WS8Yw9e,"Trowel, skull fragments & clay pot pieces in pit with trowel",['the remains of a human skeleton are shown with a shovel and other tools'],
1725,2913,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/discovering-jane,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibskullplustibiacr300.jpg.webp?itok=mk0MqAg0,Pieces of skull and tibia,['an image of a human skull and other bones on a gray surface'],
1726,2914,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/discovering-jane,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibjanemandibletibiacompositescaled1440.jpg.webp?itok=AD4-2UAG,Mandible with unerupted molars and tibia with unfused epiphysis,['two pictures of a human tooth and a tooth with a hole in it'],
1727,2915,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/forensic-case-files/discovering-jane,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wibjanecollagetextr.png.webp?itok=a0o2Uo8J,Close up and microscopic views of cutting marks on skull & mandible,['a series of images showing the different stages of a human skull'],
1728,2917,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/written-bone/skeleton-keys/techniques-and-tools-trade,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wib76-caliper-femur.jpg.webp?itok=pyY4UUpp, A vertical image of a femur between the two prongs of the caliper,['a caliper with a bone in the middle of it'],
1729,2928,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/izdisplayyv0064.jpg.webp?itok=6hpjLRQV,"Wet and dry Smithsonian specimens including octopus, starfish, urchins, and corals",['a room filled with jars and jars of various items'],
1730,2929,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/collins-lab-thumbnail.jpg.webp?itok=AVsgD3c5,Jellyfish against a black background,['a jellyfish swimming in the dark on a black background'],
1731,2930,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/ex1202l2img20120325t165502zrovhdcorsqa00.jpg.webp?itok=kaPLRbnA,A long white soft coral,['a sea anemone with its tentacles spread out on a black background'],
1732,2931,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/cerion.jpg.webp?itok=jESAAbOl,Two sides of a cerion shell,['two shells are shown on a black background'],
1733,2932,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/ceratonotus-steiningeri-org.jpeg.webp?itok=vXB4pPyo,CLSM image of copepod specimen,"[""an insect with yellow and black markings on it's body""]",
1734,2933,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/coral-research.jpeg.webp?itok=XqHVul5j,Many pieces of live coral under a blue light,['a close up of some blue corals in an aquarium'],
1735,2934,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/giantsquideye.jpg.webp?itok=6xIsvu8h,Woman looking at jar with giant squid eye inside,['a woman looking at an eye in a glass jar'],
1736,2935,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/invertebrate-zoology/research,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/cnidaria-staurozoahaliclystus-californiensisacollins.jpeg.webp?itok=p3ElTczl,Stalked jellyfish against a black background,['a close up of an orange sea anemone'],
1737,2940,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/collections-access/collections-overview,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/acevedo-16278_0.jpg.webp?itok=Gd5veMoz,Collections Overview,['a close up of yellow flowers with green leaves'],
1738,2942,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/earth-science/volcanoes-and-plate-tectonics,https://naturalhistory.si.edu/sites/default/files/styles/resource_side/public/media/image/volcanoplumeiss.jpg.webp?itok=2Wa1v2D9,"Aerial view of an ash plume rising from Mount Cleveland volcano, which has snow on its upper slopes.",['an aerial view of an active volcano in the middle of the ocean'],
1739,2944,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/acevedo-16407sm.jpg.webp?itok=6NwOMXdf,Botany banner image,['a close up of a green flower with a yellow center'],
1740,2945,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/barcode-image-colored-background.jpg.webp?itok=W6GoyS0v,DNA Barcode Hero image,['an image of a ladybug and other insects on a barcode'],
1741,2948,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/plant-dna-barcode-project-introduction,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/ctfs-map.jpg.webp?itok=2omwju2l,CTFS Map,['a map of the world showing all the countries'],
1742,2950,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/engineering-technology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/butterfly-adaptations-colors-video-thumbnail.jpg.webp?itok=B1wLMFtD,"Butterfly Pavilion Manager Eric Wenzel, Maggy Benson and Microscopy Educator Juan Pablo Hurtado Padilla read to discuss butterfly colors and mimicry.",['three people sitting in front of a computer screen'],
1743,2951,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/engineering-technology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/edulsheadlinerbirdstriketeachingresources0.png.webp?itok=JvHXbDEW,A hand holds a loose feather (grey with white tip) above a bird wing specimen on a table,['a person is cutting feathers on a piece of paper'],
1744,2952,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/engineering-technology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/fieldnotebookofdavidgriffiths1867-1935.jpg.webp?itok=SBThp0ih,"Old, lined notebook open to script-style notes and prints of brownish fruit-like shapes outlined in pen",['an open book with writing on it'],
1745,2954,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/life-science,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/video-screenshot-what-insect.png.webp?itok=nEzhRkF8,"Insects. Illustrations of a butterfly, fly, beetle, ant, and grasshopper on a green background with an illustration of grass.",['insects on a green background with the words insects'],
1746,2955,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/life-science,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/ichthyornis-skeleton-diagram-729x499.png.webp?itok=u4PuEq4j,"Diagram of skeleton of a bird-like creature, ichthyornis, with some parts labeled",['the anatomy of a pelican'],
1747,2959,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/paleontology,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/its-date-activity-board-screenshot2.png.webp?itok=Cq15CTtx,"Illustration of a crossection of a hillside showing horizontal geological layers, some of which have fossils in them.","['an image of a rock formation with a sign that says ""mystery fossil""']",
1748,2962,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/human-evolution-early-human-diets-video-thumbnail.jpg.webp?itok=9TQRdOch,"Maggy Benson and Dr. Briana Pobiner sit at a table with casts of early human skulls, their stone tools, and the skull of a carnivore.",['two women are sitting at a table with a variety of bones'],
1749,2963,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/social-studies,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/edussimg3044cropped.png.webp?itok=W2cS4_df,Cell phone back has been removed and held between two hands.,['a person is working on a cell phone that is being repaired'],
1750,2967,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/teaching-resources/physical-science,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/edussg0013largesmithsonian.png.webp?itok=_vulaGdr,Closeup view of stained teeth of skeleton,['a close up of the teeth of a human skull'],
1751,2971,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/treesamplingscheme.jpg.webp?itok=5L-H_47-,Plant DNA Barcode Sampling Scheme,['a diagram showing the different stages of a tree'],
1752,2974,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling/tissue-samples,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/sampling.jpg.webp?itok=hD6omLLK,Tissue Sampling,['several pictures of different types of plastic and a measuring tape'],
1753,2979,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/barcode-cycle,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/indeximage.png.webp?itok=bBmE9kIT,Plant DNA Barcode Cycle,['a diagram of the plant dna barcode cycle'],
1754,2984,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling/samples-dna-extraction,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/wellblocks.jpg.webp?itok=TvxRDwii,Well Blocks,['two plastic trays with holes in them'],
1755,2985,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling/samples-dna-extraction,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/extractionplatetopsize.jpg.webp?itok=3ik0-5Ij,Extraction Plate with Size,['an image of a square with circles on it and a ruler next to it'],
1756,2986,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling/samples-dna-extraction,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/microtubecaps_1.jpg.webp?itok=Dx7qioEm,Microcaps,['a clear plastic box filled with plastic tubes'],
1757,2989,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/sampling/voucher-specimens,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/herbariumsamples.jpg.webp?itok=0fx6AH-L,Herbarium Samples,['a diagram of a tree with different types of trees'],
1758,2991,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs,https://naturalhistory.si.edu/sites/default/files/styles/hero/public/media/image/1611131600x950qcrew-facilitationhellen-fusmithsonian3o0a1038.jpg.webp?itok=bbqyZ59X,"A Q?Crew teen volunteer sitting by a microscope, talking to a visitor.",['a man in a lab coat talking to another man'],
1759,2992,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/teen-earth-optimism-webinar-thumbnail-cuddy-rodriguez.jpg.webp?itok=YzyWJheI,Juan Rodriguez and Meaghan Cuddy,['a man and a woman are talking on a video call'],
1760,2993,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/181001naturalhistoryinvestigationssmithsoniannhb2017-01380.jpg.webp?itok=GsyDGq01,Two teenage girls with blue gloves on holding human pelvic bones and examining them.,['two young girls are looking at a model of a human skeleton'],
1761,2994,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/dsc0300qcrewvolunteersbynicolewebstersmithsonian.jpg.webp?itok=bagGPRCH,Two teenage boys and a girl standing next to a counter while holding and looking at two plastic boxes and a feather.,['three young people looking at something in a lab'],
1762,2995,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured/public/media/image/img2936yesinternsbytiffanymunozzegarra.jpg.webp?itok=ukSIBd_j,Four teenagers in red t-shirts and blue gloves stand around a white bucket with smoke or steam coming out of it.,['a group of young people in red shirts are working on something'],
1763,2997,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/yes-teen-internship-program,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/img2936yesinternsbytiffanymunozzegarra.jpg.webp?itok=_5gDmwyQ,Four teenagers in red t-shirts and blue gloves stand around a white bucket with smoke or steam coming out of it.,['a group of young people in red shirts are working on something'],
1764,2998,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/yes-teen-internship-program,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/yes-intern-jordyn.jpg.webp?itok=f93Cb2k1,YES intern Jordyn speaking in a video,['a young woman in a red shirt talking into the camera'],
1765,2999,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/yes-teen-internship-program,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/yes-intern-eva.jpg.webp?itok=NxFKKqRu,YES intern Eva speaking in a video,['a woman in a red shirt is speaking into a microphone'],
1766,3000,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/yes-teen-internship-program,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/yes-intern-maiss-1200x900.jpg.webp?itok=uIKm2ofg,A teen girl standing to the left of a large video screen.,['a woman wearing a headscarf stands in front of a television screen'],
1767,3001,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/yes-teen-internship-program,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/181025yes-teen-internsnicole-webstersmithsonianimg1382.jpg.webp?itok=xXZpIY2l,The 2018 group of 25 YES teen interns pose in their red intern shirts.,['a group of people in red shirts posing in front of a large shark'],
1768,3004,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/qcrew-teen-volunteers,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/qcrew-captain-margaret.jpg.webp?itok=RxqWVvwn,Q?Crew Captain Margaret speaks in a video.,['a young woman wearing a blue shirt and glasses'],
1769,3005,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/qcrew-teen-volunteers,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/qcrew-teen-intern-mithra-v2.jpg.webp?itok=_53MIahP,A teen girl in a gray vest standing at a cart with collection objects on it. She is talking to two visitors.,['a man and a woman standing in front of a table with a sign that says unlock your world'],
1770,3006,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/youth-programs/qcrew-teen-volunteers,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/qcrew-volunteer-mckenna-1200x900.jpg.webp?itok=VRchrWCp,"Teenage girl standing to the left of a large video screen, gesturing with her hands.",['a young woman is standing in front of a sign that says smithsonian national museum of natural history'],
1771,3009,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/pcr-and-sequencing,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/barcode-robotics.jpg.webp?itok=B3_Fcl07,Barcode robotics,['an image of a machine with two doors open'],
1772,3010,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/pcr-and-sequencing,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/barcode-pcr2.jpg.webp?itok=JdCJ03R_,Barcode PCR,['a black and white photo of a row of squares'],
1773,3011,https://naturalhistory.si.edu,https://naturalhistory.si.edu/research/botany/research/plant-dna-barcode-project/pcr-and-sequencing,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/barcode-dnasequence.jpg.webp?itok=JtWagUiw,barcode dna sequence,['an image of a bar chart showing the number of different types of dna'],
1774,3013,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/school-programs/grades-3-5/smithsonian-science-how,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/220512-webinar-thumbnail-tracking-health-coral-reefs.jpg.webp?itok=T1GsU4vB,A large gray fish and smaller yellow fish swimming between corals in a coral reef,['two people are talking on a video call with a fish in the background'],
1775,3015,https://naturalhistory.si.edu,https://naturalhistory.si.edu/education/school-programs/grades-3-5/smithsonian-science-how,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/200323si-distance-learning.png.webp?itok=YjVHVu5w,"A girl and an adult sitting at a table, looking at a laptop computer.",['a woman and a young girl looking at a calculator'],
1776,3017,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/180605mom-and-kidfamilyprograms975x650.png.webp?itok=qMkPYyky,A mother looks at her child through a magnifying glass in a classroom with tables and stools.,['a woman holding a magnifying glass in front of a child in a classroom'],
1777,3023,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/180830772x471storyhourfamilyprogramnmnh.jpg.webp?itok=WyNPrGJN,A woman sitting on the floor next to a word map reads a book to six children sitting in front of her.,['a group of children sitting on the floor in front of a map'],
1778,3024,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/wysiwyg/public/media/image/basket-making-workshop-1100x750.jpg.webp?itok=_g6fgDQY,Six people sitting at a table outside making black ash baskets.,['a group of people sitting at a picnic table'],
1779,3025,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/200530-webinar-making-plant-press.jpg.webp?itok=EQy8JZK6,Video frame showing two hands holding a small wooden block and a small cardboard block. Some picked flowers on are the table.,['a person is holding a wooden box with flowers on it'],
1780,3026,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/square/public/media/image/201107-natural-history-home-drawing-dinosaurs.jpg.webp?itok=Vmu2swmt,Paleoartists Bob Walters standing next to an easel with a drawing of a dinosaur on it.,['a drawing of a t - rex on a piece of paper'],
1781,3028,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/family-programs,https://naturalhistory.si.edu/sites/default/files/styles/featured_single/public/media/image/t-rex-banner-small-600x475.jpg.webp?itok=IySFPU75,a T. rex drawing with a skeleton shadow,"[""a child's drawing of a dinosaur on a yellow background""]",
1782,3030,https://naturalhistory.si.edu,https://naturalhistory.si.edu/events/after-hours-programs-adults,https://naturalhistory.si.edu/sites/default/files/styles/page_hero/public/media/image/180926after-hours-banner-notext.png.webp?itok=_b2ekydG,Elephant specimen in the rotunda of the museum,['a statue of an elephant standing in front of a building'],
